,,,General (no gender split),,,,,,Male (if gender split),,,,,,Female (if gender split),,,,,
Iron Utilization %,Metric,No,What is Iron Utilization?,"This percentage shows how much of your iron-carrying capacity is actually being used. It's calculated as (Serum Iron / TIBC) × 100.
 
 Think of it like fuel efficiency—how well your body is absorbing and using the iron available to it.",Why does it matter?,"Below 20% suggests iron deficiency. Above 50% may indicate iron overload.
 
 This metric helps distinguish between true iron deficiency and other causes of fatigue.",Why is an optimal level important?,"An optimal range of 25-35% means your body has enough iron without excess accumulation.
 
 Iron is essential for energy and oxygen transport, but too much is harmful. This percentage helps you stay in the healthy zone.",,,,,,,,,,,,
Androgen Index,Metric,Yes,What is Androgen Index?,"The Free Androgen Index estimates how much testosterone is actually available for your body to use. Formula: (Total Testosterone / SHBG) × 100.
 
 SHBG is a protein that binds testosterone, making it inactive. This index tells you what's actually 'free' and working.",Why does it matter?,"Your total testosterone can look fine while your actual usable testosterone is low—if SHBG is high. This index catches that.
 
 Optimal ranges differ by gender and age, making it a key marker of hormonal vitality.",Why is an optimal level important?,"Optimal FAI ensures enough bioavailable testosterone for energy, mood, muscle maintenance, and libido.
 
 If your FAI is low despite normal total testosterone, the focus shifts to reducing SHBG rather than increasing testosterone.",What is Androgen Index?,"The Free Androgen Index estimates how much testosterone is actually available for your body to use. Formula: (Total Testosterone / SHBG) × 100.
 
 SHBG is a protein that binds testosterone, making it inactive. This index tells you what's actually 'free' and working.",Why does it matter?,"Your total testosterone can look fine while your actual usable testosterone is low—if SHBG is high. This index catches that.
 
 For men, optimal FAI is typically 30-150. Below 30 may explain symptoms despite 'normal' testosterone levels.",Why is an optimal level important?,"Optimal FAI for men ensures enough bioavailable testosterone for energy, mood, muscle maintenance, libido, and overall vitality.
 
 If your FAI is low despite normal total testosterone, the focus shifts to reducing SHBG through lifestyle changes or addressing underlying causes.",What is Androgen Index?,"The Free Androgen Index estimates how much testosterone is actually available for your body to use. Formula: (Total Testosterone / SHBG) × 100.
 
 SHBG is a protein that binds testosterone, making it inactive. This index tells you what's actually 'free' and working.",Why does it matter?,"For women, FAI helps assess androgen levels—important for energy, libido, and detecting conditions like PCOS.
 
 Optimal FAI for women is typically 1-10. Elevated levels may indicate excess androgen activity.",Why is an optimal level important?,"Optimal FAI for women supports healthy energy and libido without excess androgen effects like acne or unwanted hair growth.
 
 If FAI is elevated, it may warrant further evaluation for conditions like PCOS that respond well to treatment."
Calculated Free Testosterone,Metric,Yes,What is Calculated Free Testosterone?,"This uses the Vermeulen equation—a validated formula combining Total Testosterone, SHBG, and Albumin—to calculate your free (unbound) testosterone.
 
 It's more accurate than the Free Androgen Index and can validate directly measured free testosterone.",Why does it matter?,"Only 2-3% of testosterone is 'free' and active. The rest is bound to proteins. This calculation gives you the most accurate picture of what's actually available to your tissues.
 
 If your total testosterone looks normal but you have symptoms, this metric often reveals the real story.",Why is an optimal level important?,"Optimal free testosterone means your tissues are receiving adequate hormone signaling for muscle, bone, mood, and metabolic health.
 
 Because it's calculated from multiple factors, optimizing free testosterone may involve addressing SHBG, albumin, or total testosterone—depending on what's driving your result.",What is Calculated Free Testosterone?,"This uses the Vermeulen equation—a validated formula combining Total Testosterone, SHBG, and Albumin—to calculate your free (unbound) testosterone.
 
 It's more accurate than the Free Androgen Index and considered the gold standard for assessing bioavailable testosterone.",Why does it matter?,"Only 2-3% of testosterone is 'free' and active. The rest is bound to proteins.
 
 For men, optimal free testosterone is typically 9-30 ng/dL. If your total testosterone looks normal but you have symptoms like fatigue or low libido, free testosterone often reveals the issue.",Why is an optimal level important?,"Optimal free testosterone for men ensures adequate hormone signaling for muscle mass, bone density, mood, energy, and sexual function.
 
 If low despite normal total testosterone, the focus shifts to factors affecting SHBG—like thyroid function, liver health, or body composition.",What is Calculated Free Testosterone?,"This uses the Vermeulen equation—a validated formula combining Total Testosterone, SHBG, and Albumin—to calculate your free (unbound) testosterone.
 
 For women, even small amounts of free testosterone are important for energy, libido, and overall vitality.",Why does it matter?,"Only 1-2% of testosterone is 'free' and active in women. This calculation shows what's actually available to your tissues.
 
 Optimal free testosterone for women is typically 0.3-1.9 ng/dL. Too low can affect energy and libido. Too high may indicate PCOS or other conditions.",Why is an optimal level important?,"Optimal free testosterone for women supports healthy energy, mood, libido, and muscle tone—without excess androgenic effects.
 
 Both low and high levels are actionable. Low levels may improve with lifestyle changes; high levels warrant investigation for underlying causes."
Longevity Score (Age-Adjusted),Metric,No,What is your Longevity Score?,"This score compares your IGF-1 (a growth hormone marker) to others your age using a Z-score. It shows whether your growth hormone status is optimal, average, or below average for your age group.
 
 IGF-1 is linked to muscle maintenance, metabolism, and overall vitality.",Why does it matter?,"IGF-1 is a double-edged sword. Too low and you may struggle with recovery and energy. Too high has been linked to accelerated aging.
 
 The sweet spot? Moderate-to-optimal levels for your age.",Why is an optimal level important?,"An optimal age-adjusted IGF-1 supports healthy muscle maintenance, recovery, and metabolic function without the downsides of excess growth signaling.
 
 This balance is associated with healthy aging and longevity in population studies.",,,,,,,,,,,,
Biological Age (PhenoAge),Metric,No,What is Biological Age?,"Your chronological age is how many birthdays you've had. Your biological age reflects how your body is actually aging at a cellular level.
 
 We calculate this using PhenoAge—a peer-reviewed algorithm developed by Yale scientist Morgan Levine, PhD—using nine key biomarkers including albumin, glucose, creatinine, and inflammatory markers.",Why does it matter?,"Based on a 23-year study of nearly 10,000 people, PhenoAge predicts mortality and disease risk better than chronological age alone.
 
 Your biological age isn't fixed. Unlike your birthday, it responds to lifestyle changes.",Why is an optimal level important?,"A biological age younger than your chronological age indicates your body is aging more slowly than average—associated with longer healthspan and reduced disease risk.
 
 Track it over time to see if your habits are helping you age slower—or faster. It's one of the most meaningful metrics for longevity.",,,,,,,,,,,,
Heart Disease Risk Index,Metric,No,What is Heart Disease Risk Index?,"This is the Atherogenic Index of Plasma (AIP): log(Triglycerides / HDL). The logarithmic formula makes it more sensitive to subtle changes in your lipid balance.
 
 It's been shown to correlate strongly with cardiovascular risk—often better than traditional cholesterol measures.",Why does it matter?,"This index reflects the quality of your cholesterol particles, not just the quantity.
 
 Target: Under 0.11 is low risk. Between 0.11-0.21 is intermediate. Above 0.21 is elevated risk.",Why is an optimal level important?,"An optimal AIP under 0.1 indicates favorable lipid particle characteristics—larger, fluffier LDL particles that are less likely to cause arterial damage.
 
 This index responds well to dietary changes, especially reducing refined carbohydrates and increasing omega-3 fatty acids.",,,,,,,,,,,,
Particle Number vs Size,Metric,No,What is Particle Number vs Size?,"This ratio compares ApoB (which counts LDL particles) to LDL cholesterol (which measures cholesterol carried by LDL). Formula: ApoB / LDL Cholesterol.
 
 A high ratio suggests you have many small, dense LDL particles—which are more dangerous than fewer, larger ones.",Why does it matter?,"Two people can have identical LDL cholesterol, but very different risks—because particle size matters.
 
 Small, dense LDL particles penetrate artery walls more easily. Target: Under 0.8.",Why is an optimal level important?,"An optimal ratio under 0.8 indicates larger, less dangerous LDL particles. This pattern is associated with significantly lower cardiovascular risk.
 
 If your ratio is high, lifestyle interventions like reducing refined carbs and increasing exercise can shift particle size favorably.",,,,,,,,,,,,
Testosterone Vitality Score,Metric,Yes,What is Testosterone Vitality Score?,"This score shows where your testosterone falls compared to others your age—as a percentile ranking. It uses your testosterone Z-score adjusted for your age group.
 
 Instead of just 'normal' or 'abnormal,' you see exactly how you compare to your peers.",Why does it matter?,"Normal' is a wide range. You could be at the 10th percentile or the 90th—both technically 'normal.'
 
 This score tells you where you actually stand. If you're at the 25th percentile and experiencing symptoms, that context matters.",Why is an optimal level important?,"Being in the upper half of the normal range for your age (50th percentile or above) is associated with better energy, mood, body composition, and metabolic health.
 
 If you're in the lower quartile with symptoms, there may be room for optimization even if technically 'normal.'",What is Testosterone Vitality Score?,"This score shows where your testosterone falls compared to other men your age—as a percentile ranking. It uses your testosterone Z-score adjusted for your age group.
 
 Instead of just 'normal' or 'abnormal,' you see exactly how you compare to your peers.",Why does it matter?,"Normal' testosterone for men spans a huge range—300 to 1000+ ng/dL. You could be at the 10th percentile or the 90th—both technically 'normal.'
 
 This score tells you where you actually stand. If you're at the 25th percentile with fatigue and low libido, that context matters.",Why is an optimal level important?,"Being in the upper half of normal for your age (50th percentile or above) is associated with better energy, mood, muscle mass, and metabolic health in men.
 
 If you're in the lower quartile with symptoms, optimization through lifestyle or treatment may help—even if you're technically 'normal.'",What is Testosterone Vitality Score?,"This score shows where your testosterone falls compared to other women your age—as a percentile ranking.
 
 For women, testosterone is produced in smaller amounts but still plays an important role in energy, libido, and overall vitality.",Why does it matter?,"Low testosterone in women can cause fatigue, low libido, and mood changes. But the 'normal' range is wide.
 
 This score shows where you fall relative to peers—helping contextualize your symptoms.",Why is an optimal level important?,"For women, mid-range testosterone supports healthy energy, mood, and sexual function without excess androgenic effects.
 
 If you're in the lower percentiles with symptoms like persistent fatigue or low libido, there may be room for optimization."
Estrogen Balance Ratio,Metric,Yes,What is Estrogen Balance Ratio?,"This ratio compares Estradiol to Total Testosterone. It shows how much of your testosterone is being converted to estrogen through a process called aromatization.
 
 For men: A balanced ratio means healthy testosterone signaling. For women: It helps assess hormonal balance.",Why does it matter?,"Especially critical for men on testosterone therapy. If too much testosterone converts to estrogen, you may experience unwanted effects.
 
 This ratio helps optimize hormone therapy and identify when intervention might be helpful.",Why is an optimal level important?,"An optimal ratio ensures testosterone and estrogen are in proper balance for your sex—supporting mood, body composition, bone health, and overall hormonal health.
 
 Imbalances are often correctable through lifestyle changes or, when necessary, medical intervention.",What is Estrogen Balance Ratio?,"This ratio compares your Estradiol to Total Testosterone. It shows how much of your testosterone is being converted to estrogen through aromatization.
 
 In men, some estrogen is necessary and healthy—but too much relative to testosterone causes problems.",Why does it matter?,"If too much testosterone converts to estrogen, you may experience water retention, mood changes, or gynecomastia (breast tissue growth).
 
 This is especially important to monitor during testosterone therapy.",Why is an optimal level important?,"An optimal ratio for men maintains enough estrogen for bone and brain health while preserving testosterone's benefits for energy, muscle, and mood.
 
 Excess aromatization often improves with body fat reduction, as fat tissue contains aromatase enzyme.",What is Estrogen Balance Ratio?,"This ratio compares your Estradiol to Total Testosterone. In women, this balance shifts throughout the menstrual cycle and changes significantly with menopause.
 
 It reflects the relative dominance of estrogen versus androgen activity.",Why does it matter?,"The balance between estrogen and testosterone affects mood, energy, body composition, and reproductive health.
 
 This ratio helps interpret your hormone status in context rather than looking at single values.",Why is an optimal level important?,"An optimal ratio for women supports healthy menstrual function, mood stability, and overall hormonal wellness.
 
 Imbalances may manifest as PMS symptoms, irregular cycles, or menopausal symptoms—many of which respond to targeted support."
Metabolic Health Score,Metric,No,What is Metabolic Health Score?,"This composite score (0-10) combines six key metabolic markers: Glucose, HbA1c, Insulin, Triglycerides, HDL, and waist circumference.
 
 It's based on the criteria for metabolic syndrome—but instead of a yes/no diagnosis, you get a continuous score.",Why does it matter?,"Studies suggest only 12% of adults are metabolically healthy by strict criteria. This score helps you see where you stand—and track improvement over time.
 
 Even moving from 4 to 6 represents meaningful progress in reducing your risk.",Why is an optimal level important?,"A Metabolic Health Score above 8 indicates excellent metabolic function—efficient blood sugar regulation, healthy lipids, and low disease risk.
 
 This score is highly responsive to lifestyle. Diet, exercise, sleep, and stress management can all move it significantly.",,,,,,,,,,,,
Metabolic Age,Metric,No,What is Metabolic Age?,"Your Metabolic Age translates your metabolic markers into an age equivalent. If your metabolic markers match those typical of a 35-year-old, your metabolic age is 35—regardless of your actual age.
 
 It's a more intuitive way to understand your metabolic health.",Why does it matter?,"A metabolic age younger than your chronological age means your metabolism is performing well. Older means there's room for improvement.
 
 The gap is highly responsive to lifestyle changes—especially diet and exercise.",Why is an optimal level important?,"A metabolic age at or below your chronological age indicates your body is processing energy efficiently and not accumulating metabolic damage faster than expected.
 
 Reducing metabolic age through lifestyle changes translates directly into reduced risk of diabetes, heart disease, and other metabolic conditions.",,,,,,,,,,,,
Hormone Age,Metric,Yes,What is Hormone Age?,"Your Hormone Age compares your hormone levels to population averages at different ages. If your hormones resemble those of a typical 40-year-old, your hormone age is 40.
 
 It's calculated from key hormones like testosterone, estrogen, DHEA-S, and thyroid markers.",Why does it matter?,"Hormones decline naturally with age—but the rate varies dramatically between individuals. Some 50-year-olds have hormone profiles of 35-year-olds.
 
 Tracking your hormone age helps you understand if your hormonal decline is typical or accelerated.",Why is an optimal level important?,"A hormone age at or below your chronological age indicates your endocrine system is aging well—associated with better energy, mood, body composition, and quality of life.
 
 Lifestyle factors like sleep, stress management, and exercise can slow hormonal aging.",What is Hormone Age?,"Your Hormone Age compares your hormone levels to population averages at different ages. If your hormones resemble those of a typical 40-year-old man, your hormone age is 40.
 
 It's calculated from key hormones including testosterone, DHEA-S, and thyroid markers.",Why does it matter?,"Testosterone and other hormones decline about 1-2% per year after 30—but the rate varies dramatically. Some 50-year-old men have hormone profiles of 35-year-olds.
 
 This metric helps you understand if your decline is typical or accelerated.",Why is an optimal level important?,"A hormone age at or below your chronological age indicates your endocrine system is aging well—supporting energy, muscle mass, mood, and sexual function.
 
 Lifestyle optimization can slow hormonal aging; sometimes hormone therapy is appropriate if decline is significant.",What is Hormone Age?,"Your Hormone Age compares your hormone levels to population averages at different ages. It accounts for the natural hormonal transitions women experience.
 
 It's calculated from key hormones including estrogen, progesterone, DHEA-S, and thyroid markers.",Why does it matter?,"Women's hormones fluctuate with menstrual cycles and change dramatically with perimenopause and menopause. This metric contextualizes where you are in that journey.
 
 It helps identify if hormonal changes are age-appropriate or accelerated.",Why is an optimal level important?,"A hormone age appropriate for your life stage indicates healthy hormonal transition—whether you're pre-menopausal, perimenopausal, or post-menopausal.
 
 Understanding your hormone age helps guide decisions about lifestyle support or hormone therapy."
Pace of Aging,Metric,No,What is your Pace of Aging?,"Your Pace of Aging measures how fast you're aging for every calendar year. It's calculated by comparing changes in your biological age over time.
 
 A pace of 1.0 means you're aging at a normal rate. Below 1.0 means you're aging slower. Above 1.0 means faster.",Why does it matter?,"If your pace is 0.9, you're aging about 0.9 biological years for every calendar year—effectively slowing down the clock.
 
 This metric requires at least two tests over time to track.",Why is an optimal level important?,"An optimal pace under 1.0 means your lifestyle interventions are working—you're accumulating biological damage slower than the calendar suggests.
 
 This is the ultimate validation that your health efforts are paying off in measurable biological terms.",,,,,,,,,,,,
Liver Fibrosis Risk,Metric,No,What is Liver Fibrosis Risk?,"This score estimates your risk of liver scarring (fibrosis) using a validated formula: (Age × AST) / (Platelets × √ALT).
 
 It's called the FIB-4 score and was developed to identify liver fibrosis without invasive biopsies.",Why does it matter?,"With fatty liver disease on the rise, this score helps catch liver damage early—when it's still reversible.
 
 Target: Under 1.45 indicates low risk. Between 1.45-3.25 is intermediate. Above 3.25 suggests advanced fibrosis risk.",Why is an optimal level important?,"A FIB-4 score under 1.0 indicates healthy liver tissue with no evidence of scarring.
 
 Early-stage fatty liver is completely reversible with lifestyle changes. This score helps you act before permanent damage occurs.",,,,,,,,,,,,
Heart Age,Metric,No,What is Heart Age?,"Your Heart Age estimates how old your cardiovascular system is based on risk factors like cholesterol, blood pressure, and smoking status.
 
 A 40-year-old with poor cardiovascular markers might have a heart age of 55. A healthy 55-year-old might have a heart age of 45.",Why does it matter?,"Heart disease remains a leading cause of death. Your heart age makes this risk personal and understandable.
 
 The gap between your heart age and actual age represents the years you can potentially gain back through lifestyle changes.",Why is an optimal level important?,"A heart age at or below your chronological age indicates your cardiovascular system is aging well—with clean arteries and efficient function.
 
 Every year of heart age you reduce through lifestyle changes (or treatment) translates into meaningful reductions in heart attack and stroke risk.",,,,,,,,,,,,
Longevity Score,Metric,No,What is your Longevity Score?,"This 0-100 composite score combines all your aging-related biomarkers into one number. It includes biological age, metabolic health, inflammation, hormones, and organ function.
 
 Think of it as a comprehensive assessment of your aging trajectory.",Why does it matter?,"Rather than obsessing over individual markers, this score gives you the big picture. Are you aging well overall?
 
 It's designed to track progress over time. Even small improvements reflect meaningful changes in your healthspan potential.",Why is an optimal level important?,"A Longevity Score above 70 indicates you're aging well across multiple dimensions—not just avoiding disease, but optimizing function and vitality.
 
 This score responds to comprehensive lifestyle optimization. Improvements here mean you're extending not just lifespan, but healthspan.",,,,,,,,,,,,
Inflammation Score,Metric,No,What is your Inflammation Score?,"This 0-10 composite combines multiple inflammation markers: CRP, white blood cells, neutrophils, NLR (neutrophil-lymphocyte ratio), and SII (systemic immune-inflammation index).
 
 It's more comprehensive than looking at CRP alone.",Why does it matter?,"Chronic low-grade inflammation is linked to nearly every age-related disease—from heart disease to dementia.
 
 Most people don't know they have it. This score makes the invisible visible.",Why is an optimal level important?,"An Inflammation Score under 3 indicates your body isn't fighting chronic, low-grade inflammation that accelerates aging.
 
 Anti-inflammatory lifestyle factors—omega-3s, colorful vegetables, quality sleep, stress management, and regular movement—can significantly improve this score.",,,,,,,,,,,,
Thyroid Conversion Efficiency,Metric,No,What is Thyroid Conversion Efficiency?,"This ratio (Free T3 / Free T4) shows how well your body converts the inactive thyroid hormone (T4) to the active form (T3).
 
 Your thyroid produces mostly T4, which then gets converted to T3 in your liver, gut, and other tissues. T3 is what your cells actually use.",Why does it matter?,"You can have normal TSH and T4 but still feel thyroid symptoms if conversion is impaired. Stress, inflammation, and nutrient deficiencies can all block this conversion.
 
 This ratio helps identify conversion problems that standard thyroid tests miss.",Why is an optimal level important?,"An optimal conversion ratio indicates your body is efficiently activating thyroid hormone—supporting metabolism, energy, and body temperature regulation.
 
 Poor conversion often responds to addressing underlying causes like selenium deficiency, gut health, or chronic stress.",,,,,,,,,,,,
Thyroid Feedback Score,Metric,No,What is Thyroid Feedback Score?,"This ratio (TSH / Free T3) assesses the communication loop between your pituitary gland and thyroid. TSH is the signal telling your thyroid to work. Free T3 is the result.
 
 A healthy ratio suggests good pituitary-thyroid communication.",Why does it matter?,"Sometimes the feedback loop itself is off. Your pituitary might not be responding appropriately to thyroid hormone levels.
 
 This score adds another layer of insight—especially useful if standard tests look normal but something still feels off.",Why is an optimal level important?,"An optimal feedback score indicates proper communication between your brain and thyroid—the pituitary appropriately responds to thyroid hormone levels.
 
 Abnormal feedback can indicate pituitary issues, thyroid resistance, or non-thyroidal illness syndrome.",,,,,,,,,,,,
Immune Balance Ratio,Metric,No,What is Immune Balance Ratio?,"This ratio (Lymphocytes / Monocytes) compares your adaptive immune cells (lymphocytes) to your innate immune cells (monocytes).
 
 Lymphocytes provide targeted, long-term immunity. Monocytes are first responders. The balance reflects your immune system status.",Why does it matter?,"An imbalanced ratio can suggest chronic infection, immune suppression, or inflammatory conditions.
 
 This metric provides context for your immune function beyond just white blood cell count.",Why is an optimal level important?,"An optimal ratio indicates balanced immune function—your body maintains proper surveillance without chronic activation.
 
 If imbalanced, investigation for underlying infections, autoimmune activity, or other immune challenges may be warranted.",,,,,,,,,,,,
Platelet Inflammation Index,Metric,No,What is Platelet Inflammation Index?,"This ratio (Platelets / Lymphocytes) links two systems: clotting and immunity. When inflammation is present, both platelet counts and this ratio tend to increase.
 
 It's another window into systemic inflammation and thrombotic (clotting) risk.",Why does it matter?,"Chronic inflammation increases both your risk of disease and blood clot formation. This index captures both dimensions.
 
 Elevated levels have been associated with cardiovascular events and poorer outcomes in various conditions.",Why is an optimal level important?,"An optimal ratio indicates low systemic inflammation and normal clotting tendency.
 
 Anti-inflammatory lifestyle measures that improve this ratio also reduce both cardiovascular disease and clotting risk.",,,,,,,,,,,,
Remnant Cholesterol,Metric,No,What is Remnant Cholesterol?,"Remnant cholesterol is what's left after you subtract HDL and LDL from Total Cholesterol. It represents cholesterol carried by triglyceride-rich particles—VLDL and their remnants.
 
 These particles are particularly good at penetrating artery walls and causing damage.",Why does it matter?,"Research shows remnant cholesterol is an independent risk factor for heart disease—separate from LDL.
 
 If your LDL is controlled but cardiovascular risk persists, remnant cholesterol might be the missing piece. Target: Under 30 mg/dL.",Why is an optimal level important?,"Optimal remnant cholesterol under 20 mg/dL indicates efficient triglyceride metabolism and reduced arterial damage from these particularly harmful particles.
 
 Remnant cholesterol responds well to reducing refined carbohydrates, losing excess weight, and improving insulin sensitivity.",,,,,,,,,,,,
Fatty Liver Risk Score,Metric,No,What is Fatty Liver Risk Score?,"This composite score estimates your risk of non-alcoholic fatty liver disease (NAFLD) using multiple factors: age, BMI, liver enzymes (AST, ALT), platelets, albumin, and diabetes status.
 
 It's designed to identify fatty liver without imaging studies.",Why does it matter?,"Fatty liver disease affects an estimated 25% of adults globally—and most don't know they have it. Early stages are completely reversible.
 
 This score helps catch fatty liver early, when lifestyle changes can make the biggest difference.",Why is an optimal level important?,"A low Fatty Liver Risk Score indicates healthy liver fat content and low risk of progression to more serious liver disease.
 
 Early fatty liver responds dramatically to lifestyle changes—weight loss, reduced sugar intake, and regular exercise can completely reverse it.",,,,,,,,,,,,
